VPNCode,AGE,WORK,Gender_Männlich,Gender_Weiblich,Edu_Abgeschlossene_Berufsausbildung,Edu_Mittlere_Reife_(Realschulabschluss),Edu_Abitur_oder_Fachabitur,Edu_Bachelor,Edu_Master,Edu_Doktortitel,AILiteracy[Use],AILiteracy[Kno],AILiteracy[Det],AILiteracy[Eth],PGAT,NGAT,CMV,NEO[E],NEO[A],NEO[C],NEO[N],NEO[O],JC1[IStR],JC1[HRJD],SE1,SDT1[AUT],SDT1[COM],PROD1,TASKDIF1,MANI1,JC2[IStR],JC2[HRJD],SE2,SDT2[AUT],SDT2[COM],PROD2,TASKDIF2,MANI2,total_time,syst_total_time,time_demogr,time_pers,time_task1,time_survey1,time_task2,time_survey2
ZZIKO0401,29.0,100.0,False,True,False,False,False,False,True,False,3.8333333333333335,3.0,2.0,2.5,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.5,1.75,3.75,2.5,3.4,3.8,4.0,20.0,4,4,4,2,"Ich musste an die Vorgesetzte meines Chefs ein Konzept erstellen, das in einem Meeting vorgestellt werden konnte. Dabei ging es um eine eintägige Veranstaltung, die ein Konzept benötigte für Führungskräfte, mit denen die digitale Transformation diskutiert und thematisch eingeführt werden sollte. Ich konnte ChatGPT als Hilfe nutzen. Ich hatte 12 Minuten Zeit dafür.",2.6,3.0,100.0,4,2,3,2,"Ich musste ein Konzept erstellen, das diesmal nicht nur für einen Tag sondern eine Woche erarbeitet werden muss. Ich hatte 12 Minuten Zeit und es ging um Nachhaltigkeit und die Verbindung und Inititative zwischen der Organisation und den Mitarbeiter:innen und Nachhaltigkeit.",22.366666666666667,22.4155,2.9045,1.1728333333333334,7.781166666666667,2.7493333333333334,4.605333333333333,3.2023333333333333
ZZAZW0718,31.0,100.0,True,False,False,False,False,True,False,False,4.666666666666667,4.333333333333333,3.6666666666666665,3.5,4.0,1.6666666666666667,3.0,3.5,3.75,4.25,2.75,3.4,4.6,5.0,10.0,5,4,4,4,Ich musste einen Onepager über das Thema Nachhaltigkeit erstellen. Das ganze war für ein wirtschaftliches Unternehmen. Ich konnte dabei Chat Gpt nutzen,2.6,2.0,100.0,5,4,4,2,Ich musste einen One Pager entwerfen. Dieser onepager war über eine Veranstaltung über die digitale Transformation im Unternehmen. Zielgruppe waren Führungskräfte und IT Verantwortliche,34.983333333333334,35.048,4.340833333333333,1.5245,12.804833333333333,4.313833333333333,0.18533333333333332,11.878666666666668
ZZYPE1411,27.0,100.0,True,False,True,False,False,False,False,False,3.0,3.1666666666666665,3.6666666666666665,3.0,3.6666666666666665,3.3333333333333335,4.333333333333333,2.75,3.5,3.75,2.5,3.2,3.4,2.5,90.0,4,4,4,4,"Ich wurde von dem vorgesetzten meines Chefs gefragt ob ich eine eintägige Schulung für den Vorstand organisieren könnte. Hier ging es um Themen wie Digitale Transformation und die Einsetzung von KI. Hilfsmittel standen im Text, an diesen konnte man sich orientieren.",2.2,4.5,30.0,2,3,4,2,In 12 Minuten sollte man ein einwöchiges Vorstandsmeeting planen welches sich um die Nachhaltigkeit im gesamten Unternehmen dreht. Als Hilfsmittel haben Hinweise im Text und ein Tool geholfen welches durch promts Antworten geliefert hat.,40.71666666666667,40.746833333333335,4.051666666666667,1.7016666666666667,16.1065,5.171,9.7265,3.9895
ZZANI25,21.0,100.0,True,False,False,False,True,False,False,False,3.8333333333333335,4.0,3.6666666666666665,3.5,3.0,2.6666666666666665,4.0,3.5,3.25,3.25,3.5,3.8,3.4,3.75,30.0,3,4,4,4,"Als Hilfsmittel diente ChatGPT. Es sollte ein Aktionspapier verfasst werden für ein Unternehmen, welches kommunizieren möchte, inwiefern es sich für Nachhaltigkeit einsetzt.",4.2,2.5,100.0,4,4,2,2,Es sollte der Ablauf für ein Vorstandsmeeting einer Firma erstellt werden. Die Anwesenden sollten über die digitale Transformation des Unternehmens informiert werden.,23.433333333333334,23.495333333333335,2.940166666666667,0.8306666666666668,7.659666666666666,3.1229999999999998,5.7635,3.1783333333333332
ZZOHA2303,18.0,0.0,True,False,False,False,True,False,False,False,5.0,4.5,4.333333333333333,3.0,2.6666666666666665,3.6666666666666665,3.3333333333333335,2.75,3.75,3.25,1.75,4.0,2.0,5.0,2.0,2,5,1,5,Ich musste eine Aufgabe in einer Fiktiven Situation bearbeiten. Ich habe jedoch nicht 12 Minuten gebraucht sondern habe die Aufgabe mithilfe von Chat-GPT als Hilfsmittel innerhalb weniger Sekunden gelöst indem ich den Aufgabentext kopiert und in ChatGPT eingefügt habe. Dadurch habe ich die Aufgabenlösungen erhalten.,1.8,5.0,2.0,1,5,1,5,"Ich musste die vorhin bereits gestellte Aufgabe erneut lösen. Mir standen keine Hilfsmittel zur Verfügung, jedoch habe ich aus eigener Initiative heraus ChatGPT geöffnet und mithilfe dessen die Aufgabe erfolgreich bearbeitet.",46.1,46.162166666666664,9.9145,2.558666666666667,5.530666666666666,15.987833333333333,0.9398333333333333,11.230666666666668
ZZAWH2506,32.0,50.0,True,False,False,False,False,False,True,False,2.3333333333333335,3.8333333333333335,4.333333333333333,3.5,3.0,3.0,1.6666666666666667,2.75,2.75,4.25,3.5,3.6,3.2,4.5,20.0,1,4,3,2,"Ich dachte ich soll ChatGPT prompts eingeben, die dazu dienen die gestellte Aufgabe zu lösen. Also eine Kommunikationsstrategie zum Thema Nachhaltigkeit verfassen, die auf eine Seite passt, die wichtigsten Ziele beinhaltet, an das richtige Publikum gerichtet ist, und gewisse Kernpunkte betont (z.B. was Mitarbeitertende interessiert oder motiviert, aktiv zum Thema Nachhaltigkeit beizutragen).",2.6,2.75,50.0,2,2,1,1,"Offenbar war erst bei Teil 2 ChatGPT gefragt. Naja, also man musste Prompts eingeben um ein Konzept für eine eintägige Schulung zum Thema digitale Transformation für Führungskräfte zu erstellen. Diesen sollten generative KI Technelogien nahe gebracht werden, so dass sie inspiriert werden diese Technelogien gewinnbringend in täglichen Arbeitsabläufen einzusetzen.",49.13333333333333,49.176,5.306666666666667,1.5028333333333335,15.692333333333332,6.368333333333334,14.255833333333333,6.05
ZZize1717,27.0,75.0,True,False,False,False,True,False,False,False,5.0,4.833333333333333,5.0,5.0,4.0,4.0,3.0,4.25,4.0,4.0,4.25,4.0,1.6,1.0,75.0,3,3,4,4,Ich konnte beim zweiten Teil chatgpt nutzen.,3.4,4.25,76.0,4,4,4,3,"Man durfte bei der zweiten Aufgabe chatgpt verwenden, nicht bei der Ersten.",17.166666666666668,17.231166666666663,2.2448333333333332,2.0295,4.222333333333333,5.407666666666667,0.2341666666666667,3.0926666666666667
ZZRDO1608,28.0,100.0,True,False,True,False,False,False,False,False,4.666666666666667,4.0,4.0,4.0,5.0,2.6666666666666665,4.333333333333333,3.5,2.5,4.25,3.5,4.0,1.2,1.0,10.0,1,1,2,2,Mir stand zur Bearbeitung ChatGPT zur Verfügung. Ich sollte dem Vorstand ein Konzept zur Einführung von nachhaltigen Maßnahmen im Unternehmen vorstellen.,2.4,2.75,85.0,1,4,2,2,"Ich sollte ein Konzept entwickeln, wie Führungskräften an einem Tag die Vorteile generativer KI nähergebracht werden können. Dazu standen mir als Hilfsmittel nur einige Fragen zur Verfügung.",23.0,23.065333333333335,3.430333333333333,1.2488333333333335,4.927333333333333,2.978833333333333,6.750333333333333,3.7296666666666667
ZZEOT3110,49.0,0.0,False,True,True,False,False,False,False,False,3.1666666666666665,4.333333333333333,4.0,3.0,3.3333333333333335,3.3333333333333335,3.0,3.5,2.75,3.75,3.25,4.2,2.2,5.0,5.0,2,2,2,3,"Aufgabe war, mit Hilfe von AI (da nur 12 Min Zeit) einen einwöchigen Plan zur Einführung von mehr Nachhaltigkeit in einem Unternehmen zu erstellen.",3.2,1.75,100.0,3,1,2,4,Konzept für eine eintägige Veranstaltung für Führungskräfte erstellen.,38.56666666666667,38.624,3.9203333333333332,1.1781666666666666,10.908,5.640833333333333,0.29716666666666663,16.6795
ZZICO1912,39.0,100.0,False,True,False,False,False,False,True,False,5.0,4.166666666666667,4.0,3.0,3.3333333333333335,2.3333333333333335,3.0,3.25,2.25,4.0,2.25,4.2,3.6,2.25,100.0,5,3,1,1,Ich musste eine einwochige Kommunikationstrategie zur Einführung von Nachhaltigkeit in das Unternehmen entwickeln. Ich hatte keine Hilfsmittel,5.0,5.0,0.0,5,5,5,5,Ich musste eine eintagige Veranstaltung für Fühurngskräfte über das Thema Technologie und KI entwickeln. Ich konnte ChatGPT nutzen,38.516666666666666,38.57366666666667,5.280833333333334,1.6858333333333335,15.075666666666667,7.2941666666666665,2.7723333333333335,6.464833333333333
ZZTHA1907,33.0,100.0,True,False,False,False,False,True,False,False,3.6666666666666665,3.6666666666666665,3.3333333333333335,3.0,3.3333333333333335,2.0,3.6666666666666665,3.0,3.25,3.0,2.0,3.6,4.4,4.0,80.0,4,5,4,2,Ich musste eine einwöche Kommunikationsstrategie auf einem One Pager entwerfen zur Einführung von Nachhaltigkeit als Kernwert des Unternehmens und dabei verschiedene Interessen berücksichtigen. Dabei stand mir Chat GPT als Hilfsmittel zur Verfügung.,3.2,2.75,100.0,4,4,4,2,Ich musste eine eintägige Verantstaltung zum Thema digitale Transformation konzipieren. Diese richtete sich an Führungskräfte des Unternehmens. Mir standen hierbei keine Hilfsmittel zur Verfügung.,23.75,23.8005,2.5236666666666663,0.7108333333333333,8.232166666666666,3.3408333333333333,6.424833333333334,2.568166666666667
ZZAMA0101,53.0,80.0,True,False,False,False,False,False,True,False,4.5,4.0,4.333333333333333,4.0,4.333333333333333,3.6666666666666665,3.0,2.5,3.5,3.5,3.0,3.8,4.2,4.0,20.0,3,3,4,4,"Ich musste ein Konzept entwickeln für eine denkwürdige eintägige Veranstaltung für Führungskräfte, um die digitale Transformation zu diskutieren.
Ich dürfte dabei ChatGPT benutzen.",5.0,2.5,100.0,5,5,3,2,"Ich musste ein einwöchigen Kommunikatiionsstrategie zur Einführung von Nachhaltigkeit als Kernwert im Unternehmen einwickeln.
Ich dürte dabei keine hilfsmittel benutzen.",33.68333333333333,33.733,2.9661666666666666,1.0468333333333333,10.972166666666668,4.9375,8.963166666666666,4.847166666666666
ZZESA3011,30.0,25.0,True,False,False,False,True,False,False,False,4.166666666666667,4.333333333333333,3.0,4.5,4.0,3.6666666666666665,3.6666666666666665,4.25,3.0,4.25,2.0,3.8,3.2,5.0,20.0,3,4,4,4,Ich musste einen One-pager für einen Unternehmen verfassen. Dabei hatte ich Inhaltliche Vorgaben und Fragestellungen. Ich hatte ChatGPT als Hilfe.,2.8,1.0,100.0,1,3,2,2,Ich musste ein Event zum Thema Digitale Transformation planen. Ich hatte ein paar Vorgaben und Fragestellungen. Ich hatte (leider) kein ChatGPT.,38.93333333333333,38.98016666666667,4.645,1.457,11.073,4.574166666666667,12.879666666666667,4.351333333333333
ZZEFR1909,30.0,50.0,True,False,False,False,True,False,False,False,2.3333333333333335,3.0,3.0,3.5,2.6666666666666665,2.6666666666666665,3.6666666666666665,3.0,3.0,3.0,3.75,4.2,2.4,2.25,90.0,2,2,2,3,"Ich sollte das Konzept für eine Veranstaltung vorschlagn, eine eintägige Schulung und Präsentation für Führungskräfte einer Firma über Digitale Transformation. Als Hilfsmittel erhielte ich drei Vorschläge worauf ich dabei achten sollte.",2.8,4.75,15.0,3,3,3,4,Ich musste ein Konzept entwickeln für eine einwöchige Veranstaltung um mein Unternehmen umweltfreundlicher zu machen durch konkrete Maßnahmen und Bewusstseins-Schulung. Als Hilfsmittel hatte ich ChatGPT welches sehr  schnell einen ziemlich konkreten Plan vorgeschlagen hatte.,32.4,32.45283333333334,3.9378333333333333,1.166,11.077166666666667,5.216833333333333,6.441666666666666,4.613333333333333
ZZEES0811,34.0,100.0,True,False,False,False,False,False,True,False,3.6666666666666665,3.6666666666666665,2.6666666666666665,4.0,4.0,2.3333333333333335,4.0,3.5,3.75,3.25,2.25,3.0,3.6,3.75,50.0,3,3,3,4,"Ich verstehe objektiv, Ich verstehe strategie, Ich nehme Unterstützung von Web",3.8,3.0,10.0,4,4,3,3,"Chatgpt, die neue generative KI nutzen",21.266666666666666,21.331833333333336,3.1454999999999997,1.0633333333333332,6.0775,2.9623333333333335,5.955,2.1281666666666665
ZZAKI601,33.0,0.0,True,False,True,False,False,False,False,False,4.833333333333333,3.5,3.0,4.0,3.3333333333333335,3.3333333333333335,5.0,3.5,2.25,3.5,3.75,3.6,2.2,1.0,100.0,5,2,3,3,"Für ein Unternehmen soll eine Tagung geplant werden, welche sich mit dem Thema der digitalen Transformation im Unternehmen beschäftigen soll. Auf Grund der Orientierung dieser Studie gehe ich davon aus, dass dies das Verwenden von ""KI"" (eher LLMDA) im Arbeitsumfeld meint und die Führungskräfte entsprechend geschult werden sollen. Es standen keine Hilfmittel mit Ausnahme von drei Pseudo-Hilfsmittel-Fragen zur Verfügung.",3.6,4.0,25.0,1,3,3,2,"Ziel der Aufgabe war die Ausarbeitung einer groben Übersicht einer Kommunikationsstrategie zum Thema Nachhaltigkeit für ein Vorstandsmeeting. Die Rahmenbedingungen waren unter Anderem:
Länge: Eine Arbeitswoche
Spezifische Effektivität: Allgemeine Umsetzbartkeit im Unternehmen
Reichweite: Unternehmen, Anteilseigner, Öffentlichkeit
Die Übersicht durfte nicht länger sein als eine Seite (One Pager).
Zur Hilfe hatte ich ein Eingabeterminal, dass die Interaktion mit einem LLM ermöglichte.",75.03333333333333,75.08283333333334,6.333666666666667,1.8416666666666666,21.7485,8.562166666666666,27.260166666666667,9.336666666666668
klief99,32.0,100.0,True,False,False,False,False,False,True,False,4.833333333333333,4.166666666666667,4.0,2.5,2.6666666666666665,1.6666666666666667,2.3333333333333335,2.5,2.5,4.0,1.25,4.2,1.8,1.0,100.0,5,5,2,1,"ich sollte einen 1seitigen plan schreiben, wie ich dem vorstand eine digitale transformation rübgerbringe, welche einen ganzen tag füllen sollte.diese sollte interessant , lustig und inspirierend gestaltet werden",5.0,5.0,10.0,4,4,4,2,"ich musste eine wochen seminar planen, wie das unternehmen nachhaltig wird. ich durfte chatgpt benutzten und habe erlernt, wie ich chatgpt benutzen sollte",26.433333333333334,26.479833333333332,3.0155000000000003,1.4423333333333335,8.589833333333333,3.643333333333333,6.201333333333333,3.5875
ZZAMU1201,25.0,100.0,True,False,False,False,False,True,False,False,4.833333333333333,4.333333333333333,4.333333333333333,4.5,4.0,4.333333333333333,4.666666666666667,3.75,3.75,3.5,3.25,4.0,3.6,3.5,100.0,5,5,5,3,"Ziel ist es, eine Veranstaltung zu schaffen, die sowohl informativ als auch unterhaltsam ist, bei der Führungskräfte mehr über die digitale Transformation erfahren und miteinander in Kontakt treten können, wobei der Schwerpunkt darauf liegt, wie generative KI ihr Geschäftsmodell beeinflusst. Das Konzept sollte das Zielpublikum, relevante Themen für Führungskräfte und die Art der Erfahrung, die die Führungskräfte während der Veranstaltung machen sollten, ansprechen.",3.6,3.75,90.0,5,3,4,4,"Ich wurde gebeten, einen kurzen Überblick über eine Nachhaltigkeitsstrategie für eine Organisation zu geben. Die Strategie umfasste Ziele, Ziele, Zielgruppen, Themen, Erfahrungen und einen Plan für eine einwöchige Veranstaltung, um eine Kultur der Nachhaltigkeit innerhalb des Unternehmens und bei seinen Stakeholdern zu fördern. Meine Aufgabe war es, diese Strategie klar und prägnant zu formulieren.",18.483333333333334,18.55183333333333,2.3396666666666666,0.5468333333333334,4.612,3.2973333333333334,5.055833333333334,2.7001666666666666
